V,E,(E+V)/10,(E+V)/100,microseconds
256,1024,51.2,12.8,42
512,1024,61.44,15.36,6
256,2048,92.16,23.04,76
512,2048,102.4,25.6,78
1024,2048,122.88,30.72,16
256,4096,174.08,43.52,109
512,4096,184.32,46.08,95
1024,4096,204.8,51.2,56
2048,4096,245.76,61.44,30
256,8192,337.92,84.48,97
512,8192,348.16,87.04,84
1024,8192,368.64,92.16,43
2048,8192,409.6,102.4,11
2048,9999,481.88,120.47,151
10000,20000,1200,300,43
10000,40000,2000,500,523
25000,50000,3000,750,84
10000,80000,3600,900,1544
30000,70000,4000,1000,141
25000,99000,4960,1240,372
25000,100000,5000,1250,77
40000,100000,5600,1400,244
30000,140000,6800,1700,1168
40000,160000,8000,2000,528
30000,280000,12400,3100,4335